route_id,design_source,target_inquiry,mida_component,issue_id,severity,confidence,issue_category,issue,evidence,why_it_matters,recommendation,status,author_decision_needed,next_action,next_skill_route
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,Specification,ISSUE-001,P1,high,bad_control,"pwt_tfp_lag1 is likely a bad control. TFP is computed as a Solow residual from GDP — if compute capacity affects GDP (the hypothesis), then TFP is post-treatment even when lagged. Including it as a control biases the coefficient of interest.","scripts/run_analysis.R:49-51 includes pwt_tfp_lag1 in controls_base. PWT TFP (rtfpna) is derived from GDP, capital, and labor data. corr(log_total_rmax, pwt_tfp) = -0.107.","If compute affects TFP, then controlling for lagged TFP blocks part of the causal channel and biases log_total_rmax coefficient toward zero or changes its sign. This is the classic 'bad control' problem (Angrist & Pischke 2009).","Either drop pwt_tfp_lag1 from controls, or (better) estimate models both with and without TFP control and report coefficient stability across specifications. The DID diagnostics already do this (coef_stability) — use that approach in main tables.",needs_fix,Author must decide: drop TFP or report both specifications and explain why coefficient is stable across them.,Re-run Table 1 and Table 2 without pwt_tfp_lag1 and report as robustness column.,research-analysis-runner
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,Inference,ISSUE-002,P1,high,few_clusters,Standard errors clustered at country level with only 44 effective clusters (countries with within-variation in log_total_rmax). This is well below the conventional threshold of ~50 clusters for reliable cluster-robust inference (Cameron & Miller 2015).,"scripts/run_analysis.R:54 clusters at ~iso3. But only 44 of 185 countries have non-zero log_total_rmax within-variation. 141 countries have log_total_rmax=0 in all years, contributing 0 to the coefficient estimate.","With <50 clusters, cluster-robust standard errors are downward-biased, inflating t-statistics and potentially producing false positives. This is a well-known problem (MacKinnon & Webb 2017).","Report wild cluster bootstrap p-values (boottest package in R) for the main coefficient. Alternatively, use the subcluster bootstrap (MacKinnon-Webb) or the score bootstrap (Kline-Santos). As a minimum sensitivity check, report standard errors clustered at a higher level or use heteroskedasticity-robust SE and note the limitation.",needs_fix,Author must decide: run wild bootstrap or accept that p-values may be anti-conservative. This affects the interpretation of the marginal significance (p=0.066).,Run wild cluster bootstrap on main FE regression.,research-analysis-runner
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,Design,ISSUE-003,P1,high,treatment_timing,35 of 44 TOP500 countries were already in TOP500 in 2015 (always-treated). The binary DID event study only has 9 late entrants with observable pre-treatment periods. The DID diagnostics report already flags this: 'This is NOT a clean staggered adoption design.',"reports/did_diagnostics_report.html (design caveat), data/interim/did_ready.parquet: first_compute <= 2015 for 35 countries.",Binary DID claims based on 9 late entrants have very low power. The event study pre-trend test (t=-5 to t=-1) is based on only 9 countries. The DID diagnostics report correctly identifies this limitation.,Keep the continuous treatment specification (log_total_rmax) as the main specification. Remove or downgrade all binary-DID claims. The event study should be labeled 'diagnostic/exploratory' not 'causal'. Do not claim 'parallel trends hold' based on 9 units.,needs_fix,Author must decide: is continuous treatment the main spec or do we still want to claim DID?,"Remove binary DID from main text, keep as appendix diagnostic. Rewrite design section to acknowledge always-treated limitation.",study-design-builder
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,Specification,ISSUE-004,P2,high,variable_sign,pwt_import_share is stored as negative values (PWT csh_m convention: -(imports/GDP)). Using the raw negative values in regression produces counterintuitive coefficient signs. fix_data_quality.py creates pwt_import_share_abs but run_analysis.R does not use it.,"scripts/run_analysis.R:49 uses pwt_import_share_lag1 (negative). fix_data_quality.py creates pwt_import_share_lag1_abs. Table 1 shows import coefficient = -9.850*, which is hard to interpret when the variable is negative (a negative coefficient on a negative variable = positive effect).",The coefficient on import share is difficult to interpret for readers. A statistically significant coefficient on an incorrectly-signed variable may confuse reviewers.,Use pwt_import_share_lag1_abs (or pwt_trade_openness_lag1) in the main specification. Add a footnote explaining PWT's negative csh_m convention.,needs_fix,Straightforward fix: swap variable.,Replace pwt_import_share_lag1 with pwt_import_share_lag1_abs in run_analysis.R and re-run.,research-analysis-runner
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,Reporting,ISSUE-005,P2,high,table_reporting,"Table 1 does not explicitly report the number of clusters (countries) or the number of countries with identifying variation. Per reporting-standards.md and project AGENTS.md §3.1, regression tables must report N, number of countries, R², FE, and DV mean.",scripts/run_analysis.R:84-91 (notes_t1) reports N and mean DV but NOT the number of clusters/countries. Project standard §3.1 requires '国家数（或聚类数）'.,"Reviewers at 管理世界 level will expect cluster counts. Without reporting them, the few-cluster problem (ISSUE-002) is invisible to readers.","Add number of countries/clusters to table notes. Add a table row or note showing how many countries contribute to identification (44 with compute, 141 without).",needs_fix,N/A — straightforward reporting fix.,Add cluster count to table notes in run_analysis.R.,research-analysis-runner
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,Specification,ISSUE-006,P2,medium,missing_robustness,Project AGENTS.md §3.2 requires robustness checks using growth_5yr and growth_10yr as alternative outcomes. Current analysis only uses growth_annual. The DID diagnostics report also recommends this.,scripts/run_analysis.R only uses growth_pct = growth_annual * 100. growth_5yr and growth_10yr exist in the panel but are not used.,Annual growth is noisy and may reflect short-term fluctuations. 5-year and 10-year growth rates smooth out business cycles and are more appropriate for studying structural relationships like AI infrastructure.,Add columns to Table 1 using growth_5yr and growth_10yr as dependent variables. This also addresses the concern that the negative log_total_rmax coefficient is a short-run artifact.,needs_fix,Author must decide: which growth windows to report.,Add growth_5yr and growth_10yr columns to robustness section.,research-analysis-runner
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,Design,ISSUE-007,P2,medium,estimand_mismatch,"One of the hypothesized channels is 'AI → TFP → growth'. But the main regression controls for pwt_tfp_lag1, which essentially partials out the TFP channel. This creates a tension: either TFP is a channel (in which case don't control for it) or a confounder (in which case the theoretical framework is wrong).",Research starter packet §'自动化 vs 新任务渠道' lists TFP as part of the new-task channel. scripts/run_analysis.R includes pwt_tfp_lag1 as a control.,"The research design has an internal inconsistency: the theory says compute → TFP → growth, but the regression partials out TFP. The coefficient on log_total_rmax in a regression that controls for TFP estimates the direct effect of compute on growth NOT operating through TFP.","Clarify the estimand: either (a) estimate total effect (without TFP control) and then test TFP as mediator, or (b) state clearly that the regression estimates the direct effect net of TFP. Do not claim both 'TFP is a channel' and 'we control for TFP'.",needs_author,Author must decide: is TFP a channel or a confounder? This affects the entire theoretical framing.,"Resolve the TFP role: channel, confounder, or neither.",study-design-builder
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,Specification,ISSUE-008,P3,medium,interaction_interpretation,"Table 2 includes log_total_rmax × wdi_industry_value_added_gdp and log_total_rmax × wdi_services_value_added_gdp as interaction terms, but does not include the constitutive terms (wdi_industry_value_added_gdp, wdi_services_value_added_gdp) as main effects. In FE models this is less critical because the main effects are absorbed by unit FEs if they are time-invariant, but industry/service shares vary over time.",scripts/run_analysis.R:122-129 (formula_int) lacks the main effects of industry and services shares.,"In a FE model, omitting constitutive terms of interactions can produce biased interaction coefficients if the constitutive variables vary over time (Brambor, Clark & Golder 2006). wdi_industry_value_added_gdp and wdi_services_value_added_gdp do vary over time.",Add the constitutive terms wdi_industry_value_added_gdp and wdi_services_value_added_gdp to the interaction specification. Or add a footnote explaining why they are omitted (absorbed by FE only if near-constant within country).,needs_fix,Standard fix.,Add constitutive terms to interaction model specification.,research-analysis-runner
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,Data,ISSUE-009,P3,medium,missingness_reporting,"The regression goes from 1,665 obs (2015+ panel) to 1,080 complete cases. The 585 dropped observations (35%) are not systematically reported: which variables cause the drop, how many per variable, and whether the dropped sample differs systematically from the retained sample.",scripts/run_analysis.R:53 uses complete.cases() which silently drops rows. No missingness diagnostics are printed before the regression.,"35% sample loss is substantial. If the dropped observations are systematically different (e.g., poorer countries with missing WDI data), the results may not generalize to the full sample. This is standard reporting for 管理世界-level journals.","Add a missingness diagnostic step: report N dropped per variable, compare means of key variables between complete-case and dropped samples, add a note to the table.",needs_fix,Standard reporting improvement.,Add missingness diagnostics to run_analysis.R before regression.,research-analysis-runner
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,Design,ISSUE-010,P2,high,scope_drift,"141 of 185 countries have zero TOP500 compute. The study claims to study 'AI算力与经济增长' but the treatment variable captures only high-end supercomputing — not cloud AI compute, GPU imports, or other AI infrastructure available to developing countries. This is a scope mismatch between the claim and the measurement.",data/interim/did_ready.parquet: 141 never-treated countries. theory_scope_map.csv: scope_003. compute_capacity_feasibility.md acknowledges this limit.,"The study's title/abstract claim about 'AI算力' may overstate what TOP500 measures. Reviewers will note that many developing countries use AI via cloud services (AWS, Azure, Google Cloud) without owning supercomputers. The zero values for these countries are measurement zeros, not true zeros.","Add a clear scope statement: 'This study measures AI infrastructure through national supercomputing capacity (TOP500), which captures the frontier of compute-intensive AI but not cloud-based AI usage. Results should be interpreted as the effect of high-end compute infrastructure, not total AI adoption.' Do not claim generalizability to countries without TOP500 systems.",needs_author,"Author must decide: accept this scope limitation and frame accordingly, or pursue OEC GPU import data as supplementary measurement.","Add measurement scope statement to methods section, or pursue second data source.",study-design-builder
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,Theory,ISSUE-011,P2,medium,vague_mechanism,The new-task reinstatement channel (synth_003) uses pwt_human_capital_index as a proxy for 'new task creation capacity'. This is a very indirect proxy. The literature_theory_synthesis.csv correctly identifies this as evidence_strength=thin and notes the measurement gap.,docs/literature_theory_synthesis.csv: synth_003. research_starter_packet.md acknowledges the boundary: '不声称渠道代理变量精确测量了任务层面的机制'.,"A weak proxy for a core mechanism undermines the central channel decomposition claim. Reviewers will ask: is pwt_human_capital_index really measuring new-task creation, or is it just measuring education levels (which correlate with everything)?","Either: (a) find a better proxy for new-task creation (e.g., ICT services exports, high-tech patent share, startup formation rate), or (b) downgrade the channel decomposition from 'mechanism test' to 'heterogeneity analysis' and remove causal mechanism language.",needs_author,Author must decide: find better proxy or downgrade mechanism claim.,"Search for better new-task proxies, or reframe channel decomposition as heterogeneity analysis.",study-design-builder
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,Reproducibility,ISSUE-012,P3,medium,missing_seed,"The R analysis script does not set a random seed. feols() is deterministic, but modelsummary's bootstrap options (if used) and the DID diagnostics script (run_did_diagnostics.R uses set.seed(42)) would benefit from explicit seed setting.",scripts/run_analysis.R has no set.seed(). scripts/run_did_diagnostics.R has set.seed(42) but this is separate.,"Minor reproducibility concern. If any bootstrap or simulation is added later, result instability could occur.",Add set.seed(42) at the top of run_analysis.R for reproducibility hygiene.,needs_fix,Trivial fix.,Add set.seed() to run_analysis.R.,research-analysis-runner
